Ticket_ID,Date_Key,Agent_ID,Customer_ID,Channel_ID,Department_ID,Issue_Type_ID,Status_ID,Shift_ID,Satisfaction_ID,First_Response_Time,Handle_Time,Resolution_Time,First_Call_Resolution,Escalation_Flag,Transfer_Count,Reopen_Count,SLA_Breached,Agent_Utilization,Occupancy_Rate
15,1887,3978,1069,2101,3160,5694,12/30/1909,7/13/1912,4915,17,53,30,1,0,0,1,0,90.39,68.75
62,2709,1076,5473,1995,4672,3094,1/25/1904,8/5/1908,4440,18,17,48,1,0,0,1,0,67.96,79.93
110,890,1016,6858,5240,4563,1445,3/5/1905,9/16/1915,2681,48,6,49,1,0,0,1,0,70.4,84.11
114,3214,2375,7255,1184,1877,4048,4/8/1905,1/14/1904,3867,47,48,47,1,0,0,1,0,62.59,61.94
118,4417,1615,6599,1705,3427,3832,10/7/1903,9/21/1915,3976,47,40,47,1,0,0,1,0,80.45,82
128,4451,4631,529,950,4833,3037,3/14/1904,2/1/1916,393,32,107,55,1,0,0,1,0,73.32,80.88
159,4937,4278,103,1171,4024,2474,7/1/1902,12/16/1903,782,44,16,49,1,0,0,1,0,85.09,79.47
184,4543,3415,2915,5837,3752,2070,10/23/1914,9/23/1908,3204,51,97,31,1,0,0,1,0,75.35,90.25
222,4614,3342,4051,1078,2750,380,8/30/1902,7/27/1903,1578,14,105,12,1,0,0,1,0,77.78,60.73
236,1718,2304,3448,3904,3781,261,5/12/1916,9/30/1900,1563,29,98,53,1,0,0,1,0,60.27,75.76
266,2155,2706,4138,1741,1114,1719,6/24/1915,3/30/1912,2453,32,70,43,1,0,0,1,0,82.5,91.6
267,301,2018,3433,4964,5495,1531,6/14/1902,5/20/1913,5000,21,66,42,1,0,0,1,0,94.84,61.1
275,2181,963,6920,2539,2348,4803,2/27/1905,11/10/1910,4668,43,105,12,1,0,0,1,0,72.58,68.59
287,4939,999,8084,5584,3274,488,9/23/1909,8/7/1902,6787,14,47,14,1,0,0,1,0,84.19,79.19
291,346,721,1747,1820,4898,67,5/1/1905,6/30/1905,5097,35,59,52,1,0,0,1,0,67.77,84.27
298,560,4731,4176,663,4949,270,5/5/1903,11/30/1906,2589,4,27,11,1,0,0,1,0,77.27,72.5
300,4127,1135,32,2582,577,3568,5/17/1907,6/12/1900,2722,17,39,30,1,0,0,1,0,71.21,90.49
318,1258,4776,368,3626,1572,696,7/28/1905,3/27/1916,6224,5,70,53,1,0,0,1,0,72.14,74.36
321,4487,61,6511,2729,2563,5520,1/16/1901,11/21/1905,2538,8,102,59,1,0,0,1,0,85.53,83.73
326,1712,4218,3633,3652,421,1,12/13/1909,5/26/1911,1427,42,26,56,1,0,0,1,0,62.58,90.12
