Issue_Type_ID,Issue_Category,Priority_Level,Issue_Subcategory_Corrected
2,Technical,Medium,Website Error
4,Technical,Medium,Website Error
33,Technical,Medium,Slow Performance
39,Technical,Medium,Hardware Issue
55,Technical,Medium,Hardware Issue
69,Technical,Medium,Slow Performance
80,Technical,Medium,Slow Performance
103,Technical,Medium,Slow Performance
120,Technical,Medium,Website Error
131,Technical,Medium,Hardware Issue
149,Technical,Medium,Slow Performance
159,Technical,Medium,Hardware Issue
213,Technical,Medium,Hardware Issue
235,Technical,Medium,Slow Performance
249,Technical,Medium,Hardware Issue
258,Technical,Medium,Hardware Issue
267,Technical,Medium,Slow Performance
274,Technical,Medium,Slow Performance
289,Technical,Medium,Slow Performance
296,Technical,Medium,Website Error
301,Technical,Medium,Slow Performance
303,Technical,Medium,Slow Performance
307,Technical,Medium,Hardware Issue
309,Technical,Medium,Slow Performance
331,Technical,Medium,Slow Performance
364,Technical,Medium,Slow Performance
383,Technical,Medium,Slow Performance
388,Technical,Medium,Slow Performance
389,Technical,Medium,Slow Performance
409,Technical,Medium,Slow Performance
421,Technical,Medium,Slow Performance
475,Technical,Medium,Website Error
477,Technical,Medium,Slow Performance
499,Technical,Medium,Website Error
506,Technical,Medium,Hardware Issue
510,Technical,Medium,Slow Performance
525,Technical,Medium,Hardware Issue
526,Technical,Medium,Slow Performance
528,Technical,Medium,Hardware Issue
559,Technical,Medium,Slow Performance
577,Technical,Medium,Website Error
582,Technical,Medium,Slow Performance
586,Technical,Medium,Hardware Issue
591,Technical,Medium,Hardware Issue
594,Technical,Medium,Website Error
598,Technical,Medium,Slow Performance
612,Technical,Medium,Slow Performance
623,Technical,Medium,Slow Performance
645,Technical,Medium,Hardware Issue
706,Technical,Medium,Slow Performance
720,Technical,Medium,Website Error
729,Technical,Medium,Slow Performance
741,Technical,Medium,Slow Performance
754,Technical,Medium,Website Error
765,Technical,Medium,Slow Performance
773,Technical,Medium,Slow Performance
779,Technical,Medium,Website Error
791,Technical,Medium,Slow Performance
807,Technical,Medium,Slow Performance
820,Technical,Medium,Website Error
831,Technical,Medium,Website Error
856,Technical,Medium,Slow Performance
858,Technical,Medium,Hardware Issue
860,Technical,Medium,Hardware Issue
