Ticket_ID,Date_Key,Agent_ID,Customer_ID,Channel_ID,Department_ID,Issue_Type_ID,Status_ID,Shift_ID,Satisfaction_ID,First_Response_Time,Handle_Time,Resolution_Time,First_Call_Resolution,Escalation_Flag,Transfer_Count,Reopen_Count,SLA_Breached,Agent_Utilization,Occupancy_Rate,IssueID
4169,10,A-35,368,3019,1836,3885,218,3615,2230,29,59,21,1,0,0,1,0,91.9,91.04,20
7881,20,A-40,8424,781,3326,4942,2306,1323,1076,13,18,18,1,0,0,1,0,60.62,70.14,12
546,31,A-36,8900,1775,5473,442,541,4633,83,22,102,17,1,0,0,1,0,71.04,82.59,35
6619,41,A-30,2986,721,4351,3126,5168,2498,3027,25,46,36,1,0,0,1,0,86.17,87.64,50
9111,51,A-29,8027,871,1866,3255,5703,5007,4089,37,46,39,1,0,0,1,0,87.41,72.3,12
3888,54,A-27,7260,2009,1408,3130,1563,4237,4778,28,41,40,1,0,0,1,0,67.36,74.03,18
6297,54,A-24,7596,5013,5682,580,1198,2340,1605,35,49,59,1,0,0,1,0,60.68,76.69,35
4123,56,A-28,3116,5106,1104,4251,3240,374,2528,28,107,29,1,0,0,1,0,62.78,84.95,46
6569,57,A-23,3910,5549,3046,4257,1527,2676,1191,16,27,34,1,0,0,1,0,78.27,64.79,8
9820,59,A-32,3080,5787,2881,4414,1571,1940,3129,12,74,42,1,0,0,1,0,89.49,89.16,8
7686,63,A-2,739,4359,599,1103,5458,1805,2216,43,78,13,1,0,0,1,0,76.98,65.49,43
380,70,A-39,3095,4031,1758,5177,1957,1134,428,11,59,21,1,0,0,1,0,78.33,91.98,6
5445,76,A-44,2625,715,4616,3273,694,1586,314,18,68,31,1,0,0,1,0,67.83,94.71,29
5776,79,A-19,8419,1729,4722,143,3990,2731,3893,53,87,36,1,0,0,1,0,76.69,61.65,12
1472,83,A-29,1254,3042,3075,1776,549,3630,4459,26,21,40,1,0,0,1,0,61.16,64.51,31
6688,86,A-9,7548,2640,2939,1942,2122,1484,3040,22,96,10,1,0,0,1,0,67.22,90.64,33
