Shift_ID,Shift_Name,Shift_Start,Shift_End
1,Morning,8:00,8:00
2,Morning,16:00,0:00
3,Morning,8:00,0:00
4,Night,0:00,8:00
5,Morning,16:00,16:00
6,Morning,16:00,0:00
7,Evening,16:00,8:00
8,Morning,8:00,0:00
9,Morning,0:00,16:00
10,Evening,8:00,16:00
11,Morning,16:00,16:00
12,Morning,8:00,16:00
13,Night,0:00,16:00
14,Night,8:00,16:00
15,Morning,16:00,16:00
16,Night,16:00,16:00
17,Morning,8:00,0:00
18,Night,0:00,8:00
19,Morning,0:00,8:00
20,Night,0:00,0:00
21,Morning,8:00,8:00
22,Evening,16:00,8:00
23,Evening,8:00,16:00
24,Morning,16:00,0:00
25,Night,8:00,16:00
26,Evening,16:00,16:00
27,Night,0:00,16:00
28,Night,8:00,0:00
29,Evening,0:00,0:00
30,Evening,8:00,0:00
31,Night,0:00,16:00
32,Morning,16:00,0:00
33,Evening,16:00,16:00
34,Morning,16:00,8:00
35,Morning,16:00,16:00
36,Evening,8:00,8:00
37,Morning,16:00,8:00
38,Morning,0:00,0:00
39,Morning,0:00,16:00
40,Morning,8:00,0:00
41,Night,8:00,0:00
42,Morning,16:00,8:00
43,Morning,8:00,8:00
44,Morning,16:00,16:00
45,Morning,8:00,8:00
46,Night,16:00,16:00
47,Night,0:00,16:00
48,Night,16:00,0:00
49,Evening,0:00,8:00
50,Evening,0:00,0:00
51,Night,8:00,8:00
52,Evening,0:00,8:00
53,Night,16:00,0:00
54,Morning,8:00,16:00
55,Night,8:00,0:00
56,Night,16:00,8:00
57,Evening,8:00,0:00
58,Night,16:00,0:00
59,Morning,0:00,8:00
60,Night,8:00,8:00
61,Night,0:00,16:00
62,Night,8:00,8:00
63,Night,16:00,8:00
64,Evening,16:00,8:00
65,Evening,16:00,8:00
66,Evening,16:00,8:00
67,Night,8:00,16:00
68,Morning,0:00,8:00
69,Evening,0:00,0:00
70,Morning,8:00,0:00
71,Evening,8:00,8:00
72,Morning,0:00,0:00
73,Night,0:00,16:00
74,Night,8:00,0:00
75,Evening,8:00,16:00
76,Morning,8:00,16:00
77,Night,8:00,0:00
78,Night,8:00,0:00
79,Night,0:00,8:00
80,Evening,0:00,8:00
81,Morning,16:00,8:00
82,Evening,16:00,0:00
83,Morning,0:00,16:00
84,Evening,0:00,16:00
85,Night,16:00,8:00
86,Morning,16:00,16:00
87,Evening,16:00,0:00
88,Night,8:00,0:00
89,Night,16:00,16:00
90,Morning,8:00,0:00
91,Evening,8:00,16:00
92,Night,16:00,8:00
93,Morning,0:00,0:00
94,Morning,16:00,0:00
95,Night,16:00,8:00
96,Evening,16:00,16:00
97,Morning,16:00,0:00
98,Night,16:00,0:00
99,Night,8:00,16:00
100,Night,16:00,8:00
101,Evening,0:00,0:00
102,Evening,0:00,8:00
103,Morning,8:00,16:00
104,Morning,8:00,16:00
105,Night,16:00,8:00
106,Morning,16:00,16:00
107,Night,8:00,8:00
108,Morning,0:00,0:00
109,Evening,16:00,8:00
110,Evening,0:00,8:00
111,Night,8:00,8:00
112,Morning,0:00,0:00
113,Morning,0:00,16:00
114,Morning,0:00,0:00
115,Night,16:00,8:00
116,Morning,8:00,0:00
117,Evening,16:00,16:00
118,Morning,0:00,0:00
119,Evening,16:00,8:00
120,Morning,16:00,0:00
121,Night,16:00,0:00
122,Night,8:00,8:00
123,Morning,8:00,8:00
124,Morning,0:00,16:00
125,Evening,16:00,0:00
126,Night,0:00,16:00
127,Morning,16:00,8:00
128,Night,0:00,8:00
129,Night,8:00,16:00
130,Morning,0:00,16:00
131,Morning,8:00,0:00
132,Morning,16:00,16:00
133,Morning,16:00,0:00
134,Evening,16:00,8:00
135,Morning,0:00,8:00
136,Evening,0:00,0:00
137,Morning,0:00,0:00
138,Night,8:00,8:00
139,Morning,16:00,0:00
140,Evening,16:00,16:00
141,Morning,8:00,0:00
142,Morning,8:00,8:00
143,Night,16:00,0:00
144,Night,16:00,16:00
145,Evening,8:00,0:00
146,Morning,8:00,0:00
147,Morning,16:00,0:00
148,Night,16:00,8:00
149,Evening,8:00,0:00
150,Morning,16:00,16:00
151,Evening,8:00,8:00
152,Evening,16:00,0:00
153,Evening,0:00,8:00
154,Night,0:00,0:00
155,Night,16:00,8:00
156,Morning,8:00,0:00
157,Evening,0:00,16:00
158,Evening,8:00,8:00
159,Evening,0:00,0:00
160,Morning,0:00,0:00
161,Morning,0:00,0:00
162,Evening,16:00,8:00
163,Evening,16:00,8:00
164,Evening,8:00,0:00
165,Morning,16:00,0:00
166,Evening,8:00,0:00
167,Evening,0:00,8:00
168,Night,16:00,16:00
169,Evening,0:00,16:00
170,Night,8:00,0:00
171,Evening,16:00,8:00
172,Night,16:00,0:00
173,Night,0:00,0:00
174,Morning,16:00,8:00
175,Evening,8:00,16:00
176,Evening,16:00,8:00
177,Evening,0:00,0:00
178,Night,8:00,16:00
179,Morning,16:00,8:00
180,Night,0:00,16:00
181,Night,0:00,8:00
182,Night,0:00,8:00
183,Evening,0:00,16:00
184,Night,0:00,16:00
185,Night,8:00,0:00
186,Morning,0:00,0:00
187,Evening,0:00,16:00
188,Morning,16:00,0:00
189,Evening,8:00,0:00
190,Morning,0:00,8:00
191,Evening,16:00,0:00
192,Evening,8:00,8:00
193,Night,8:00,0:00
194,Morning,0:00,16:00
195,Evening,8:00,8:00
196,Night,16:00,0:00
197,Morning,8:00,16:00
198,Evening,0:00,8:00
199,Evening,0:00,0:00
200,Evening,16:00,16:00
201,Night,8:00,8:00
202,Morning,16:00,0:00
203,Evening,8:00,0:00
204,Evening,8:00,8:00
205,Morning,8:00,16:00
206,Morning,8:00,8:00
207,Morning,0:00,16:00
208,Morning,0:00,16:00
209,Evening,16:00,8:00
210,Night,8:00,16:00
211,Morning,16:00,0:00
212,Night,16:00,8:00
213,Night,0:00,16:00
214,Night,16:00,0:00
215,Morning,16:00,16:00
216,Night,16:00,8:00
217,Night,8:00,0:00
218,Evening,8:00,16:00
219,Morning,16:00,8:00
220,Morning,16:00,16:00
221,Morning,8:00,8:00
222,Morning,8:00,0:00
223,Morning,16:00,8:00
224,Evening,16:00,0:00
225,Night,8:00,16:00
226,Evening,8:00,16:00
227,Night,8:00,0:00
228,Morning,8:00,16:00
229,Evening,16:00,0:00
230,Morning,8:00,16:00
231,Morning,8:00,16:00
232,Night,8:00,8:00
233,Night,0:00,8:00
234,Night,0:00,8:00
235,Evening,8:00,0:00
236,Night,16:00,8:00
237,Morning,8:00,8:00
238,Night,8:00,8:00
239,Night,8:00,16:00
240,Night,8:00,0:00
241,Night,0:00,8:00
242,Morning,8:00,8:00
243,Night,8:00,8:00
244,Morning,0:00,16:00
245,Evening,8:00,0:00
246,Evening,16:00,8:00
247,Morning,0:00,8:00
248,Evening,8:00,8:00
249,Night,16:00,16:00
250,Night,8:00,16:00
251,Night,8:00,8:00
252,Evening,16:00,16:00
253,Morning,16:00,0:00
254,Evening,16:00,8:00
255,Evening,8:00,0:00
256,Morning,16:00,0:00
257,Morning,16:00,0:00
258,Evening,8:00,16:00
259,Evening,8:00,16:00
260,Morning,8:00,0:00
261,Morning,8:00,16:00
262,Evening,0:00,16:00
263,Night,8:00,8:00
264,Night,16:00,8:00
265,Night,16:00,8:00
266,Morning,8:00,8:00
267,Night,16:00,0:00
268,Night,16:00,16:00
269,Morning,0:00,0:00
270,Morning,0:00,8:00
271,Morning,8:00,8:00
272,Night,0:00,16:00
273,Night,16:00,16:00
274,Night,8:00,16:00
275,Night,8:00,8:00
276,Morning,16:00,16:00
277,Night,16:00,16:00
278,Morning,16:00,8:00
279,Evening,16:00,0:00
280,Evening,0:00,0:00
281,Evening,16:00,8:00
282,Night,8:00,0:00
283,Morning,0:00,8:00
284,Evening,8:00,0:00
285,Morning,16:00,16:00
286,Night,16:00,0:00
287,Night,8:00,8:00
288,Evening,8:00,8:00
289,Evening,16:00,0:00
290,Evening,0:00,8:00
291,Night,16:00,0:00
292,Night,0:00,8:00
293,Evening,16:00,16:00
294,Night,0:00,0:00
295,Night,16:00,0:00
296,Evening,8:00,16:00
297,Night,8:00,8:00
298,Night,16:00,0:00
299,Morning,16:00,16:00
300,Morning,0:00,8:00
301,Morning,0:00,16:00
302,Night,16:00,16:00
303,Night,0:00,0:00
304,Morning,8:00,8:00
305,Morning,8:00,0:00
306,Morning,16:00,8:00
307,Evening,8:00,8:00
308,Morning,0:00,16:00
309,Morning,16:00,16:00
310,Morning,8:00,0:00
311,Evening,16:00,8:00
312,Evening,8:00,16:00
313,Night,8:00,8:00
314,Morning,8:00,16:00
315,Morning,8:00,16:00
316,Night,16:00,0:00
317,Morning,8:00,8:00
318,Night,8:00,16:00
319,Morning,8:00,8:00
320,Morning,16:00,8:00
321,Morning,8:00,8:00
322,Night,8:00,16:00
323,Night,8:00,8:00
324,Night,16:00,0:00
325,Night,8:00,0:00
326,Night,8:00,16:00
327,Evening,16:00,0:00
328,Night,0:00,0:00
329,Morning,16:00,16:00
330,Evening,0:00,8:00
331,Evening,0:00,16:00
332,Evening,0:00,16:00
333,Evening,0:00,0:00
334,Night,0:00,16:00
335,Morning,16:00,8:00
336,Night,8:00,16:00
337,Night,16:00,16:00
338,Evening,16:00,8:00
339,Night,8:00,16:00
340,Evening,8:00,8:00
341,Night,16:00,8:00
342,Evening,16:00,0:00
343,Evening,16:00,16:00
344,Evening,16:00,8:00
345,Evening,8:00,16:00
346,Night,0:00,0:00
347,Night,16:00,0:00
348,Morning,0:00,0:00
349,Morning,0:00,8:00
350,Evening,16:00,0:00
351,Morning,16:00,16:00
352,Morning,8:00,16:00
353,Evening,0:00,8:00
354,Evening,16:00,16:00
355,Evening,16:00,8:00
356,Morning,8:00,0:00
357,Evening,16:00,8:00
358,Morning,0:00,8:00
359,Evening,16:00,16:00
360,Evening,16:00,16:00
361,Night,8:00,0:00
362,Night,0:00,16:00
363,Evening,0:00,16:00
364,Night,0:00,16:00
365,Night,16:00,16:00
366,Night,16:00,16:00
367,Night,16:00,0:00
368,Morning,0:00,0:00
369,Night,0:00,0:00
370,Evening,0:00,0:00
371,Night,0:00,0:00
372,Evening,16:00,16:00
373,Morning,8:00,8:00
374,Evening,0:00,0:00
375,Evening,8:00,8:00
376,Night,0:00,0:00
377,Evening,8:00,8:00
378,Evening,8:00,16:00
379,Morning,8:00,16:00
380,Morning,16:00,16:00
381,Night,8:00,8:00
382,Morning,16:00,0:00
383,Morning,8:00,16:00
384,Evening,16:00,8:00
385,Night,0:00,0:00
386,Night,0:00,16:00
387,Evening,8:00,0:00
388,Morning,16:00,0:00
389,Morning,0:00,16:00
390,Morning,16:00,16:00
391,Night,16:00,0:00
392,Evening,0:00,16:00
393,Evening,16:00,16:00
394,Morning,16:00,16:00
395,Night,16:00,8:00
396,Evening,0:00,16:00
397,Morning,16:00,16:00
398,Morning,0:00,0:00
399,Evening,16:00,0:00
400,Evening,16:00,16:00
401,Evening,0:00,0:00
402,Night,0:00,8:00
403,Morning,16:00,16:00
404,Evening,16:00,0:00
405,Night,8:00,0:00
406,Night,16:00,16:00
407,Evening,0:00,0:00
408,Evening,16:00,0:00
409,Evening,8:00,0:00
410,Evening,16:00,16:00
411,Night,8:00,16:00
412,Evening,0:00,0:00
413,Morning,0:00,0:00
414,Morning,16:00,0:00
415,Evening,8:00,16:00
416,Evening,0:00,0:00
417,Night,16:00,0:00
418,Morning,0:00,0:00
419,Morning,16:00,8:00
420,Night,8:00,8:00
421,Evening,16:00,0:00
422,Night,0:00,0:00
423,Night,16:00,8:00
424,Morning,0:00,0:00
425,Night,8:00,0:00
426,Morning,0:00,16:00
427,Morning,0:00,8:00
428,Night,8:00,8:00
429,Night,8:00,8:00
430,Evening,16:00,16:00
431,Morning,8:00,16:00
432,Night,0:00,8:00
433,Morning,16:00,16:00
434,Night,8:00,16:00
435,Night,0:00,16:00
436,Evening,8:00,0:00
437,Evening,0:00,8:00
438,Evening,8:00,0:00
439,Night,16:00,8:00
440,Evening,16:00,16:00
441,Morning,16:00,8:00
442,Morning,0:00,8:00
443,Night,16:00,0:00
444,Evening,16:00,0:00
445,Night,16:00,16:00
446,Night,0:00,16:00
447,Morning,16:00,0:00
448,Evening,16:00,8:00
449,Morning,8:00,8:00
450,Evening,0:00,16:00
451,Evening,16:00,16:00
452,Night,16:00,16:00
453,Evening,16:00,8:00
454,Evening,8:00,8:00
455,Night,8:00,16:00
456,Morning,8:00,8:00
457,Morning,16:00,8:00
458,Morning,0:00,8:00
459,Evening,0:00,8:00
460,Evening,8:00,8:00
461,Night,16:00,8:00
462,Night,0:00,16:00
463,Night,16:00,16:00
464,Morning,8:00,0:00
465,Evening,8:00,16:00
466,Night,16:00,0:00
467,Evening,0:00,8:00
468,Night,0:00,8:00
469,Night,8:00,8:00
470,Morning,16:00,16:00
471,Morning,8:00,8:00
472,Evening,0:00,16:00
473,Evening,16:00,16:00
474,Night,16:00,16:00
475,Morning,8:00,8:00
