Issue_Type_ID,Issue_Category,Priority_Level,Issue_Subcategory_Corrected,
Issue_Type_ID,Technical,Medium,Website Error,
1884,Technical,Medium,Website Error,
1527,Technical,Medium,Slow Performance,
4945,Technical,Medium,Hardware Issue,
2944,Technical,Medium,Hardware Issue,
1964,Technical,Medium,Slow Performance,
5594,Technical,Medium,Slow Performance,
4398,Technical,Medium,Slow Performance,
3886,Technical,Medium,Website Error,
4371,Technical,Medium,Hardware Issue,
476,Technical,Medium,Slow Performance,
4811,Technical,Medium,Hardware Issue,
1261,Technical,Medium,Hardware Issue,
264,Technical,Medium,Slow Performance,
4447,Technical,Medium,Hardware Issue,
152,Technical,Medium,Hardware Issue,
4877,Technical,Medium,Slow Performance,
5799,Technical,Medium,Slow Performance,
2582,Technical,Medium,Slow Performance,
2300,Technical,Medium,Website Error,
5174,Technical,Medium,Slow Performance,
1215,Technical,Medium,Slow Performance,
3885,Technical,Medium,Hardware Issue,
5145,Technical,Medium,Slow Performance,
3650,Technical,Medium,Slow Performance,
1509,Technical,Medium,Slow Performance,
537,Technical,Medium,Slow Performance,
851,Technical,Medium,Slow Performance,
5632,Technical,Medium,Slow Performance,
1986,Technical,Medium,Slow Performance,
3976,Technical,Medium,Slow Performance,
2845,Technical,Medium,Website Error,
1742,Technical,Medium,Slow Performance,
3991,Technical,Medium,Website Error,
1400,Technical,Medium,Hardware Issue,
3646,Technical,Medium,Slow Performance,
4314,Technical,Medium,Hardware Issue,
5414,Technical,Medium,Slow Performance,
5705,Technical,Medium,Hardware Issue,
4482,Technical,Medium,Slow Performance,
1911,Technical,Medium,Website Error,
2288,Technical,Medium,Slow Performance,
4332,Technical,Medium,Hardware Issue,
5775,Technical,Medium,Hardware Issue,
5297,Technical,Medium,Website Error,
611,Technical,Medium,Slow Performance,
4675,Technical,Medium,Slow Performance,
2348,Technical,Medium,Slow Performance,
780,Technical,Medium,Hardware Issue,
3173,Technical,Medium,Slow Performance,
4942,Technical,Medium,Website Error,
1296,Technical,Medium,Slow Performance,
36,Technical,Medium,Slow Performance,
3724,Technical,Medium,Website Error,
1136,Technical,Medium,Slow Performance,
1395,Technical,Medium,Slow Performance,
5520,Technical,Medium,Website Error,
5726,Technical,Medium,Slow Performance,
3640,Technical,Medium,Slow Performance,
5395,Technical,Medium,Website Error,
214,Technical,Medium,Website Error,
5152,Technical,Medium,Slow Performance,
4861,Technical,Medium,Hardware Issue,
5282,Technical,Medium,Hardware Issue,
94,Technical,Medium,Slow Performance,
1538,Technical,Medium,Website Error,
442,Technical,Medium,Hardware Issue,
39,Technical,Medium,Website Error,
2296,Technical,Medium,Slow Performance,
2921,Technical,Medium,Website Error,
125,Technical,Medium,Website Error,
3305,Technical,Medium,Website Error,
5555,Technical,Medium,Slow Performance,
5996,Technical,Medium,Website Error,
5572,Technical,Medium,Slow Performance,
687,Technical,Medium,Slow Performance,
2913,Technical,Medium,Slow Performance,
3798,Technical,Medium,Website Error,
5307,Technical,Medium,Hardware Issue,
535,Technical,Medium,Hardware Issue,
3225,Technical,Medium,Website Error,
5878,Technical,Medium,Slow Performance,
656,Technical,Medium,Hardware Issue,
1862,Technical,Medium,Slow Performance,
965,Technical,Medium,Website Error,
3126,Technical,Medium,Website Error,
1980,Technical,Medium,Website Error,
3462,Technical,Medium,Slow Performance,
3038,Technical,Medium,Slow Performance,
4449,Technical,Medium,Website Error,
2827,Technical,Medium,Slow Performance,
2345,Technical,Medium,Slow Performance,
4564,Technical,Medium,Slow Performance,
3546,Technical,Medium,Hardware Issue,
3220,Technical,Medium,Hardware Issue,
5345,Technical,Medium,Slow Performance,
2345,Technical,Medium,Website Error,
4657,Technical,Medium,Hardware Issue,
4099,Technical,Medium,Website Error,
4034,Technical,Medium,Slow Performance,
3810,Technical,Medium,Website Error,
1060,Technical,Medium,Website Error,
3255,Technical,Medium,Slow Performance,
5864,Technical,Medium,Slow Performance,
1456,Technical,Medium,Website Error,
4246,Technical,Medium,Hardware Issue,
3130,Technical,Medium,Website Error,
2726,Technical,Medium,Website Error,
580,Technical,Medium,Slow Performance,
4732,Technical,Medium,Slow Performance,
3234,Technical,Medium,Hardware Issue,
3797,Technical,Medium,Slow Performance,
3160,Technical,Medium,Website Error,
1676,Technical,Medium,Website Error,
4887,Technical,Medium,Website Error,
4251,Technical,Medium,Slow Performance,
4257,Technical,Medium,Slow Performance,
5300,Technical,Medium,Slow Performance,
1153,Technical,Medium,Slow Performance,
3129,Technical,Medium,Slow Performance,
2424,Technical,Medium,Website Error,
4704,Technical,Medium,Website Error,
2601,Technical,Medium,Slow Performance,
4414,Technical,Medium,Website Error,
1938,Technical,Medium,Hardware Issue,
5747,Technical,Medium,Slow Performance,
2985,Technical,Medium,Slow Performance,
4331,Technical,Medium,Website Error,
743,Technical,Medium,Slow Performance,
1103,Technical,Medium,Hardware Issue,
519,Technical,Medium,Slow Performance,
5202,Technical,Medium,Slow Performance,
5973,Technical,Medium,Website Error,
988,Technical,Medium,Hardware Issue,
382,Technical,Medium,Website Error,
844,Technical,Medium,Slow Performance,
4314,Technical,Medium,Hardware Issue,
1460,Technical,Medium,Website Error,
341,Technical,Medium,Slow Performance,
5727,Technical,Medium,Website Error,
1248,Technical,Medium,Website Error,
5431,Technical,Medium,Slow Performance,
2051,Technical,Medium,Slow Performance,
2025,Technical,Medium,Hardware Issue,
3813,Technical,Medium,Website Error,
5177,Technical,Medium,Hardware Issue,
3290,Technical,Medium,Website Error,
5132,Technical,Medium,Slow Performance,
5103,Technical,Medium,Slow Performance,
4409,Technical,Medium,Slow Performance,
2521,Technical,Medium,Website Error,
609,Technical,Medium,Hardware Issue,
1093,Technical,Medium,Website Error,
2130,Technical,Medium,Slow Performance,
5735,Technical,Medium,Slow Performance,
3685,Technical,Medium,Slow Performance,
4589,Technical,Medium,Slow Performance,
3929,Technical,Medium,Slow Performance,
3011,Technical,Medium,Website Error,
3273,Technical,Medium,Hardware Issue,
3712,Technical,Medium,Website Error,
143,Technical,Medium,Website Error,
563,Technical,Medium,Slow Performance,
4607,Technical,Medium,Slow Performance,
2988,Technical,Medium,Slow Performance,
